Sale ID,Date,Product,Quantity,Price,Total,Customer ID,Customer Name,Payment Method,Region
16,2024-01-22,Monitor,9,80.52,724.68,e84da1d4-e708-4520-98f2-d78d12a2a0ed,Karen Gonzalez,Debit Card,South America
17,2024-01-06,Smartphone,4,297.85,1191.4,624c3e3a-f61a-4f4c-83ca-f47dc9613253,Holly Graham,Cash,North America
18,2024-08-29,Printer,10,395.04,3950.4,69abc485-c749-4b53-b766-106146fa7ad4,Thomas Dunn,Bank Transfer,Oceania
19,2024-06-26,Smartphone,4,427.23,1708.92,a8eb0db8-bd3b-4f28-b986-e3007f0061a3,Michael Mcintyre,Debit Card,North America
20,2024-04-12,Smartphone,9,112.99,1016.91,114daf10-3668-4a0d-88d5-cbf7b279c5c7,Dr. Spencer Mcknight,Credit Card,Africa
21,2024-01-22,Keyboard,8,96.08,768.64,742bc884-cc39-4968-af81-3d289660ddc3,Mrs. Stephanie Hays,Cash,Oceania
22,2024-08-10,Laptop,3,381.44,1144.32,683641a3-9620-447c-b26d-f237005c6e95,Susan Morris,Credit Card,North America
23,2024-02-28,Keyboard,8,207.11,1656.88,88593723-9501-477b-aea8-b5131073cb0e,Brandon Atkinson,Cash,Europe
24,2024-07-01,Laptop,9,329.09,2961.81,bed0bab7-9f05-43a7-ad03-36d307bf002b,Alexis Finley,PayPal,Europe
25,2024-04-14,Webcam,2,71.21,142.42,0bd20994-0182-40b1-80d6-b408efe227ed,James Bishop,Debit Card,Oceania
26,2024-01-16,Laptop,6,266.99,1601.94,f2416db6-f8a1-455d-b195-181957c40ff0,Michelle Cook,Debit Card,North America
27,2024-08-27,Keyboard,9,433.52,3901.68,bf92b960-4ae5-4966-8822-651040f3a79e,George Smith,Bank Transfer,Africa
28,2024-01-20,Webcam,3,422.71,1268.13,84b9272b-fef3-4318-884b-d302c69b11db,Troy Gonzalez,PayPal,North America
29,2024-07-25,Keyboard,10,497.71,4977.1,4dc337b4-b89f-48f1-b087-4d737cc7cb82,Gerald Gardner,PayPal,Oceania
30,2024-03-31,Headphones,7,289.46,2026.22,998da2b8-0995-4168-bc19-4be9e2405bc3,Anna Nichols,Bank Transfer,Europe
31,2024-08-25,Monitor,2,243.47,486.94,b1fa5a7f-10b7-47a8-ac8d-ca18acdb6e74,Nathaniel Gomez,Credit Card,Africa
32,2024-06-21,Printer,3,24.18,72.54,bfa1b334-ec34-41ed-81e9-c18aa2ce8a62,Michael Moreno,Debit Card,Oceania
33,2024-02-05,Mouse,5,227.9,1139.5,dbef9a39-519f-47b4-a54b-4181de0d2d55,Shawn Mejia,Credit Card,Africa
34,2024-01-26,Mouse,7,227.88,1595.16,c8565522-eabe-41b1-abca-2503e265899c,Frank Lawson,Credit Card,Asia
35,2024-07-09,Webcam,2,290.48,580.96,764dc3c5-6d5b-4486-a55c-c7e281c61901,Latoya Erickson,PayPal,Africa
36,2024-05-11,Smartphone,3,491.2,1473.6,6030c432-12cd-409e-958b-f2654c5486d6,Monica Rodriguez,Bank Transfer,North America
37,2024-05-30,Mouse,10,362.22,3622.2,6740112d-f753-4010-8a7e-bc0c900de23d,Jeffrey Marquez,Credit Card,Oceania
38,2024-01-20,Laptop,3,264.74,794.22,90ec3f38-f2fe-4831-8164-1527689c0a58,Rachel Anderson,Bank Transfer,North America
39,2024-05-25,Printer,3,64.43,193.29,4508d02a-97ec-453f-85c0-c8cace4f5178,April Silva,Cash,Oceania
40,2024-02-17,Smartphone,1,89.42,89.42,d068fef9-5131-4f97-9971-640b887d0f46,Jennifer Perry,Bank Transfer,Europe
41,2024-08-07,Smartphone,2,238.76,477.52,5f82864e-771e-4802-be49-9d816227633d,Adam Williams,Debit Card,North America
42,2024-06-14,Monitor,10,448.95,4489.5,91bb6eed-0f4d-4b1c-adc0-7ea5be2d50a3,Samantha Richmond,PayPal,Africa
43,2024-03-24,Webcam,2,293.4,586.8,f68b53cc-9659-48b6-b80a-a8affc4e17ae,Zoe Nelson,Cash,Oceania
44,2024-01-28,Laptop,10,330.93,3309.3,c02422c5-8285-4e9f-b7b6-1c7b5a0dd273,Sarah Torres,Credit Card,Oceania
45,2024-02-21,Webcam,6,368.72,2212.32,58d755f3-9ebc-4fa8-aa19-53a8c717b3e2,Ann Osborn,Credit Card,Asia
46,2024-08-18,Headphones,6,205.43,1232.58,b2bca91a-8c19-472e-bb71-58bb568d7367,Bradley Francis,PayPal,Oceania
47,2024-01-01,Printer,10,221.36,2213.6,7a1ac817-0609-4119-9d12-23db6fffc465,Jennifer Knight,PayPal,Asia
48,2024-02-12,Keyboard,10,300.6,3006.0,39df6139-5b51-49f1-b48a-66576c33f288,Anne Martinez,Debit Card,Africa
49,2024-02-26,Monitor,3,144.22,432.66,d59b1e0a-5992-4dc0-a07b-39598dd88004,Christina Robinson,Debit Card,Asia
50,2024-03-07,Laptop,10,16.8,168.0,6d6189bc-10b1-42e0-a5ed-483d1bcb87e0,Jamie Brown,PayPal,Asia
51,2024-04-11,Monitor,1,79.46,79.46,11ba6998-293d-4a36-a996-5571e4420399,Daniel Gonzalez,Credit Card,Europe
52,2024-08-18,Printer,2,418.67,837.34,ac5e2bc8-aafc-4783-a94c-82cc5e7e1a54,Rhonda Knapp,Cash,North America
53,2024-03-08,Mouse,2,131.95,263.9,bf18fad6-0a1a-4baf-93ec-8ce8c4186007,Jonathan Thompson,PayPal,Oceania
54,2024-07-21,Keyboard,3,170.37,511.11,6110d499-8e03-4622-a5ab-b4022b8a850e,David Rodriguez,Cash,Africa
55,2024-08-31,Keyboard,2,447.25,894.5,265bb2ea-f482-4cb4-b12c-a4766f2a16cb,Rebecca Ochoa,Cash,Asia
56,2024-08-22,Keyboard,7,434.87,3044.09,026b40a6-94ca-4ffe-befc-98e3197062be,Julian Silva,Bank Transfer,Oceania
57,2024-02-09,Mouse,4,57.95,231.8,f2c9b3a4-ba21-477d-a0f1-d998d05aa3ee,Thomas Peterson,Bank Transfer,Africa
58,2024-04-21,Mouse,2,466.81,933.62,f683ccc3-1981-4328-9b12-8291bdc27a30,Patricia Thomas,Cash,North America
59,2024-01-20,Mouse,2,468.76,937.52,36d0c763-a669-4632-8735-2efb75c4d73e,Jacob Pena,Cash,Europe
60,2024-02-22,Printer,6,115.39,692.34,c93dc7f6-3518-46e6-b45c-1c35d60346b3,Mr. Michael Serrano,Bank Transfer,Europe
61,2024-06-20,Mouse,8,161.06,1288.48,a655b69d-e296-4a8a-833d-cbd9bb775313,Samuel Jones,PayPal,North America
62,2024-05-16,Mouse,10,144.25,1442.5,634a1d5a-5bf2-4fff-ac9f-3cb4152335f0,Nicholas Obrien,Debit Card,Oceania
63,2024-06-13,Mouse,8,367.77,2942.16,b540b9e0-3f76-4c18-8cb7-20cef2ebd8a8,Jenna Jacobs,Bank Transfer,Oceania
64,2024-02-14,Laptop,2,315.01,630.02,208f2f5f-74cd-4561-9f7f-81099d59fb02,Charles Brown,Credit Card,Asia
65,2024-07-26,Printer,6,267.85,1607.1,6cbcb8bf-5b29-4c09-943e-42d682bc6bd0,James Hansen,Debit Card,Europe
66,2024-04-16,Laptop,5,14.83,74.15,8cd97462-2df9-454f-8038-db3a72f90740,Christopher Malone,Cash,Asia
67,2024-05-14,Laptop,7,252.66,1768.62,5e4290ca-d4f1-43e8-be03-9daecb7e23e7,Jordan Eaton,Cash,Africa
68,2024-03-09,Monitor,7,119.45,836.15,9e98c552-d533-4895-bc3a-97569954016a,Julia Mcbride,Bank Transfer,Europe
69,2024-03-13,Keyboard,2,376.24,752.48,f1946bae-8f5c-46a6-859e-0d05cf570283,Misty Clark,PayPal,South America
70,2024-05-29,Mouse,2,46.23,92.46,58f500a7-f86c-4a33-a525-d9cd4cefe379,Miguel Wood,PayPal,Africa
71,2024-08-14,Headphones,8,494.82,3958.56,8adb45d5-61e0-48c2-8126-de2e7e9c546d,Becky Hart,Credit Card,Africa
72,2024-03-13,Headphones,4,238.5,954.0,b9dca2c8-d7aa-430b-a1b3-03882a297237,Andre Brown,Bank Transfer,North America
73,2024-02-27,Monitor,8,207.32,1658.56,7b67c7be-eea8-4cf6-b28e-4e80a1a0bbba,Kimberly Smith,Debit Card,Africa
74,2024-08-14,Smartphone,9,87.76,789.84,146882ac-3fe4-4d8e-95c9-eae8e2ecf17c,Thomas Heath,PayPal,South America
75,2024-08-27,Printer,9,150.06,1350.54,1253f239-27e6-4a8e-8bd9-da79e060b1cb,Kyle Wilson,Bank Transfer,North America
76,2024-06-27,Mouse,1,337.72,337.72,5e3d084c-ce10-4dab-898a-fb5269971bc8,Christopher Lewis,PayPal,Asia
77,2024-05-09,Keyboard,4,398.19,1592.76,df93ecc6-d942-48ab-82e2-bbadbb3b5f25,Shelley Chen,Cash,Europe
78,2024-03-25,Printer,6,14.66,87.96,596ca415-4ba7-4516-8cf5-bdff63e54164,Angel Ramirez,Debit Card,South America
79,2024-02-08,Smartphone,7,98.34,688.38,1574e694-7c7d-4e18-88ec-7c11e77551ce,Chad Holmes,Credit Card,South America
80,2024-07-08,Monitor,9,358.69,3228.21,08b8c0eb-6515-4d20-9909-4d88df36d637,James Hampton,Credit Card,Asia
81,2024-03-09,Laptop,7,112.75,789.25,7f659119-7fd2-49be-8c50-13ff4c97259f,Christina Rodgers DDS,Cash,South America
82,2024-02-21,Smartphone,8,495.57,3964.56,f06a1d3f-b132-45e1-8c68-852519c2265c,Jared Stewart,Debit Card,Europe
83,2024-01-28,Smartphone,1,36.37,36.37,4a77f7b8-e627-46e6-bb2e-ec837e99d57c,Rhonda Gonzales,Bank Transfer,North America
84,2024-06-27,Headphones,2,188.43,376.86,1efec714-0aff-42b9-95f1-fefc30aaa5cc,Heather Hall,Credit Card,Oceania
85,2024-01-05,Monitor,7,285.7,1999.9,efd327e9-0168-4f27-943c-acb97864bc06,Hannah Yang,Credit Card,Europe
86,2024-04-06,Printer,8,62.99,503.92,f11a87d7-c4f1-43c9-8189-50334bd1a403,Christina Reynolds,Cash,Oceania
87,2024-06-14,Monitor,1,236.04,236.04,3e70c630-9fa9-40ff-9d81-f5673094da69,Louis Gordon,Cash,North America
88,2024-01-21,Laptop,7,278.73,1951.11,47c1c3d4-1e3f-4112-a8fe-ad6a1960594b,Nicole Clarke,Bank Transfer,Asia
89,2024-07-19,Headphones,7,61.98,433.86,57421799-9229-4ac5-92ef-6de056595bcd,Maria Shepherd,Credit Card,South America
90,2024-04-29,Smartphone,3,342.66,1027.98,54ef879d-0ba8-4c28-a413-46e4fd0dcdc9,Thomas Reyes,Credit Card,Asia
91,2024-03-16,Smartphone,4,101.2,404.8,acfb5c26-e87e-4952-b0fc-c7cae6acb80d,Jason Sparks,Debit Card,North America
92,2024-04-10,Webcam,2,149.43,298.86,d4e96ed5-dec9-4a91-81aa-8c00e8861546,Amanda Thompson,Bank Transfer,Oceania
93,2024-02-08,Webcam,1,167.19,167.19,2cc08927-98f4-4f5a-9bc8-b44ab8e7cbea,Linda Aguirre,Credit Card,Europe
94,2024-03-14,Laptop,8,318.04,2544.32,2e12ff01-8cf4-44c5-a570-9b0b8974199f,Robert Nelson,Cash,Asia
95,2024-07-22,Headphones,4,112.6,450.4,5d37a8fa-6f38-4699-b118-e521437606cf,Jason Herman,Debit Card,Asia
96,2024-05-30,Headphones,9,349.83,3148.47,c1cd795d-386b-4898-8b2c-b2f2fcce9074,Donald Schmitt,Bank Transfer,North America
97,2024-04-06,Webcam,6,312.95,1877.7,e9d68106-6a5c-4740-bcf3-5e3520e407c2,Randy Harrington,Cash,North America
98,2024-01-31,Printer,5,165.24,826.2,fb0febb1-7a1b-4658-8073-a1d6aff7ebf2,Matthew Dunn,PayPal,Africa
99,2024-07-29,Headphones,7,324.49,2271.43,61a50e93-5a36-44ad-849a-2cb17104e9ae,Ryan Logan,Credit Card,Asia
100,2024-07-10,Mouse,3,144.38,433.14,21f3a9b9-3dfe-44c2-b3f0-05af10538071,David Wells,Debit Card,South America
101,2024-04-19,Monitor,10,252.63,2526.3,827f7ed0-1363-4796-99cc-437411d7ee75,Mary Baker,Bank Transfer,Oceania
102,2024-02-13,Webcam,5,267.62,1338.1,293cea14-7db7-4a8c-859d-5899054e2d34,Michelle Shannon,PayPal,North America
103,2024-06-14,Printer,4,408.92,1635.68,0237f5c2-9a12-41e6-b917-d8f63408518c,Travis Taylor,Credit Card,North America
104,2024-07-28,Headphones,9,132.68,1194.12,818bd845-544d-49cc-bb3e-7b7053624575,Randy Ryan,Cash,Asia
105,2024-01-18,Laptop,6,106.24,637.44,f3ab7023-fec7-4a68-be33-0c59dc875c8f,Joseph Harper,Debit Card,North America
106,2024-01-15,Printer,6,439.43,2636.58,3dd2e6d5-2163-403b-a4b8-44ed574beff3,Debra Rodriguez,Debit Card,South America
107,2024-01-08,Headphones,8,58.83,470.64,fcc0ad9d-a64c-4a7c-98af-a9c3de194c4e,Henry Dixon,Debit Card,Africa
108,2024-04-24,Headphones,7,443.64,3105.48,bb1658ed-9b76-4a1f-bc82-bb2fec4cbb81,Jason Figueroa,Debit Card,Europe
109,2024-07-03,Laptop,6,483.26,2899.56,e1aa6076-7e18-4f36-a338-6fe47c1361dd,Melissa Farrell,Bank Transfer,South America
110,2024-05-19,Headphones,9,60.93,548.37,2842245f-8d64-4232-be81-001a90b6fb75,Ashlee Weber,Cash,Africa
111,2024-08-03,Monitor,4,334.04,1336.16,bedb207d-bdf8-4881-aecb-2918864c0f8c,Kenneth Collins,Credit Card,Europe
112,2024-08-24,Printer,1,332.45,332.45,7ac554a2-91cd-4a0e-a7f0-19df4fb8d350,Anita Shepard,Bank Transfer,North America
113,2024-08-04,Monitor,5,76.84,384.2,764f34dc-350e-4e83-a873-8a25fb9c88ae,Andre Rodriguez,Bank Transfer,Asia
114,2024-04-08,Webcam,10,328.58,3285.8,7e28cb6d-75f4-4f14-b730-daff88afb9a0,Nicholas Murphy,Bank Transfer,Europe
115,2024-04-12,Monitor,7,302.34,2116.38,17a790c5-5235-4db5-9939-f4b3066a2fd5,Brandon Ray,PayPal,Asia
116,2024-03-07,Webcam,2,243.79,487.58,f2c00fdd-7562-4073-b2c1-f48ca340a8e8,Jennifer Gonzalez,Credit Card,Oceania
117,2024-05-30,Smartphone,9,427.29,3845.61,49cd09bf-4003-4877-a011-4725ae6410bc,Kelly Howard,Debit Card,Oceania
118,2024-03-06,Webcam,7,374.82,2623.74,2bc454e3-1295-4929-be8b-7a4af8dcb9c6,Kerri Nielsen,Credit Card,Oceania
119,2024-06-30,Smartphone,8,250.53,2004.24,3de776cf-d18c-4b02-b4b9-0b1f623b76ec,Daniel Thornton,Bank Transfer,South America
120,2024-04-19,Laptop,4,238.98,955.92,a395a84d-739e-4b84-bdba-0304f8db753b,Patrick Scott,Cash,South America
121,2024-04-24,Headphones,9,99.27,893.43,5f653e0a-7643-4d5d-a7e6-027b509a7909,Hannah Oconnor,Credit Card,Asia
122,2024-02-16,Headphones,9,175.36,1578.24,1e778bdc-efa5-467f-82b2-2adaf7bbeec1,William Rose,Cash,Africa
123,2024-08-07,Monitor,6,249.99,1499.94,d0994820-fc4b-4c00-b18f-8681566e403d,Cassidy Russell,Debit Card,Europe
124,2024-08-24,Monitor,4,81.22,324.88,61237c8b-5b6a-4872-91af-036308ff2f62,Carol Kelly,PayPal,North America
125,2024-02-14,Smartphone,9,352.83,3175.47,48eaa384-e852-4839-8d64-9dd36121835a,Timothy Parsons,Debit Card,Asia
126,2024-04-12,Headphones,7,35.34,247.38,b5d61687-c2b7-42ae-a5b1-34868af41f82,Jill Shepard PhD,Bank Transfer,Europe
127,2024-03-26,Printer,6,477.83,2866.98,077f2df0-7e0a-43f0-94a9-0cf9b1120e9c,Nicole Rubio,PayPal,Europe
128,2024-06-27,Mouse,5,357.0,1785.0,efc70691-e1cb-4adb-93f7-115f95a966f5,Daniel Silva DVM,Credit Card,South America
129,2024-03-24,Monitor,6,24.27,145.62,425f8bfb-5d08-43fb-83ca-183f428c08cc,Dr. Brandon Fisher,Cash,North America
130,2024-06-24,Monitor,3,352.75,1058.25,1f535b5a-3768-426f-8caa-ae391c0f693c,Tyler Miller,Cash,North America
131,2024-08-06,Keyboard,7,86.11,602.77,8ad6bc8b-3217-4a39-9fc3-904bed73032a,David Williams,Debit Card,Africa
132,2024-04-11,Monitor,10,42.45,424.5,d5c5f7ce-af0a-4da5-bf7d-6089d465b70a,Joyce Brown,Cash,Africa
133,2024-08-05,Keyboard,8,194.47,1555.76,a65e3e78-2d1b-4494-a374-00527e55cf27,Deborah Oneill,Bank Transfer,North America
134,2024-07-19,Smartphone,6,380.15,2280.9,ea991d03-b3cc-4916-938b-41b0c47ec6b2,Ronald French,Debit Card,Africa
135,2024-08-11,Mouse,9,180.05,1620.45,e9db363f-e50e-4df4-9707-489982e5f668,Justin Jones,Bank Transfer,Asia
136,2024-07-09,Keyboard,2,309.89,619.78,69d8b312-53f2-4ffa-98c3-fd2923cf2e51,Jennifer Reilly,Cash,Africa
137,2024-02-23,Mouse,1,278.79,278.79,0bba57d3-ce8e-4798-bea4-bea0dd299a0e,Ryan Faulkner,Credit Card,Europe
138,2024-02-05,Mouse,1,41.72,41.72,f597e231-15b5-482e-8e61-15b3f345ed68,Lisa Cooper,Credit Card,North America
139,2024-05-11,Monitor,4,59.7,238.8,ed5ee807-c0f6-46b5-9478-523b779c4ec5,Jessica Robertson,Debit Card,Africa
140,2024-08-28,Webcam,10,205.02,2050.2,c736847d-4407-45de-bc52-6f3d4317f82f,William Bishop,Bank Transfer,North America
141,2024-06-08,Printer,8,340.2,2721.6,a8213f29-b3ac-48ba-bb2e-73db1c6cef19,Dana Jones,Cash,Europe
142,2024-06-17,Printer,7,261.18,1828.26,07a2cbb2-55dc-4d6c-bc4a-b48014429bab,Ricky Gomez,Debit Card,South America
143,2024-01-14,Headphones,6,449.1,2694.6,8d0c8d3c-3d40-429f-a44c-20a74b44d76b,Micheal Pena,Debit Card,Europe
144,2024-01-05,Monitor,7,171.97,1203.79,4e1297cb-77b7-4619-bbf8-1e49a1d38317,Felicia Roy,PayPal,South America
145,2024-03-20,Monitor,2,482.56,965.12,36900d7e-09bc-4e5b-bc8c-291c71b6f5b0,Christine Baldwin,Cash,Oceania
146,2024-07-18,Headphones,4,278.89,1115.56,a3845fd1-22fa-47a3-861a-20c2437d13e4,Danielle Russell,Credit Card,North America
147,2024-08-09,Smartphone,6,62.15,372.9,3641bd69-56c1-42c1-a8e8-9739f50cdc9b,Erica Owen,Credit Card,North America
148,2024-05-24,Mouse,8,99.93,799.44,873a4db4-1b41-4ee3-8c3f-3850af77a59c,Dr. Leslie Medina,Bank Transfer,Europe
149,2024-08-28,Headphones,8,43.14,345.12,cc53ee73-564e-4dbc-9d2b-c22c29024f0e,Philip Smith,PayPal,Africa
150,2024-07-22,Mouse,5,222.36,1111.8,51e81038-6893-4846-9f2f-d79005f0dcd4,Robert David,Cash,Oceania
151,2024-01-25,Printer,4,375.1,1500.4,8d16c2cd-522a-46aa-9b70-5dd7af865aaf,Jamie Briggs,Credit Card,Asia
152,2024-01-31,Mouse,8,152.28,1218.24,9bd22be8-e19c-47fe-ab6b-5a4f8edeeffe,Kimberly Rogers,PayPal,Oceania
153,2024-05-19,Smartphone,1,154.43,154.43,aff7e961-cf98-42d7-8831-6e5f46329569,Scott Pierce,PayPal,Africa
154,2024-08-26,Webcam,10,336.55,3365.5,08040388-7bc1-4b18-8cfe-d8318ff5e59d,Robert Smith,Bank Transfer,Europe
155,2024-01-24,Headphones,9,335.96,3023.64,9d8e9262-5972-4849-bd46-5f1c1cfe0151,Ian Anderson,Debit Card,Oceania
156,2024-07-30,Printer,7,121.23,848.61,443fb5af-31bd-49ae-9daa-55d7d259d7d3,Kimberly Lowe,Debit Card,Oceania
157,2024-08-02,Printer,2,156.23,312.46,8b589547-d84b-4bf7-a6ee-19eda94dcae5,Gregory Phillips,Credit Card,Oceania
158,2024-06-12,Mouse,6,487.58,2925.48,579bad8c-f4a3-45be-839b-4128baab11aa,Jessica Spencer,Bank Transfer,South America
159,2024-05-02,Mouse,1,178.32,178.32,d2c4cbd7-87b6-4ad6-9bd2-f49b88e28c4c,Kristy Sanchez,Bank Transfer,Africa
160,2024-06-10,Smartphone,4,108.48,433.92,66a47d40-cb34-4974-a500-a633af5bfca0,Dustin Washington,Credit Card,North America
161,2024-04-12,Headphones,2,111.8,223.6,4c81974e-9c0d-4255-b32a-51eb3a9336e8,Jamie Weber,PayPal,Europe
162,2024-02-23,Mouse,9,433.14,3898.26,aec32854-8b5b-4668-a195-19edf3e3cc5d,Linda Brown,Credit Card,Oceania
163,2024-03-01,Laptop,5,274.84,1374.2,e563f14e-93c8-4fb2-b72b-315fdfb66f20,Monica Davis,Credit Card,Asia
164,2024-05-24,Monitor,2,333.65,667.3,ff412fb3-2b7c-4b2b-ba3b-01a64495feed,Amanda Maldonado,PayPal,North America
165,2024-01-13,Laptop,3,376.5,1129.5,0aacf132-9c9f-4bf6-bf8f-1fc16e2d205f,Derek Long,PayPal,Europe
166,2024-03-04,Printer,6,26.73,160.38,0fae1d81-5fe0-422f-b790-71c549e37a85,Natalie Allen,Cash,North America
167,2024-07-22,Keyboard,7,398.25,2787.75,2bc4cf7a-0b31-448c-9717-3522e7de4873,Jordan Clark DVM,PayPal,Europe
168,2024-08-24,Laptop,3,14.68,44.04,a032d982-833a-4d56-96f4-9147bce88fc1,Ashley Burgess,PayPal,Africa
169,2024-07-08,Mouse,7,413.76,2896.32,3f8f6251-70b9-43fa-a258-c9ff2905a59b,Lydia Shannon,Cash,South America
170,2024-08-22,Laptop,3,306.44,919.32,983866ea-f943-41ac-a9ba-4de91a7fd336,Shane Jenkins,Debit Card,Africa
171,2024-09-01,Mouse,4,90.99,363.96,4515c4b7-498c-4b0e-b481-d1ed7117b306,Allison Ellis,Debit Card,Asia
172,2024-06-30,Keyboard,6,128.81,772.86,c857156c-64f1-488d-85f2-7d1152406315,Kyle Lyons,Debit Card,Africa
173,2024-02-15,Monitor,2,432.93,865.86,b8403caa-e24c-4fcf-b88c-f7da78501851,Nicholas Skinner,Debit Card,North America
174,2024-03-06,Headphones,9,240.7,2166.3,fd7630eb-c036-4936-8b4d-dea3230b2737,Dennis Thomas,Bank Transfer,Oceania
175,2024-04-06,Monitor,6,180.88,1085.28,3c13e7b5-7f1c-4d55-8470-1325d0381e9f,Randy Carrillo,Debit Card,Africa
176,2024-01-10,Mouse,9,434.26,3908.34,2560e923-2763-4793-aa9b-17ac4f4fee06,Shane Giles,Debit Card,Oceania
177,2024-01-06,Webcam,9,329.84,2968.56,97ace600-2e6a-4dc8-8c9f-d39b36f43b6f,Alex Long,Cash,Asia
178,2024-03-11,Laptop,3,81.63,244.89,34cafd59-eb09-4873-9315-eb56660cecaf,Natasha Short,Bank Transfer,Oceania
179,2024-07-09,Keyboard,8,315.67,2525.36,5a8872b3-be9b-450e-8088-daded200b20c,Melissa Cobb,PayPal,Europe
180,2024-05-08,Mouse,7,323.69,2265.83,3e7dd965-6bcf-4f23-8a5e-ee20c3729d8b,Diana Hayes,Cash,Asia
181,2024-03-13,Mouse,6,435.96,2615.76,3308fb4e-e64e-4191-8c5a-7dfcf27bbba7,Joanna Weaver,Credit Card,South America
182,2024-03-09,Webcam,4,193.05,772.2,8cb3759f-6963-43db-af28-bff26e5a924e,Sue Roberts,Credit Card,Africa
183,2024-03-19,Keyboard,9,166.03,1494.27,f5bc0b4d-ffbb-457e-956e-0ddcbf6be046,Samantha Potter,Cash,Asia
184,2024-02-24,Printer,2,141.31,282.62,fafd597b-0379-4f2f-8b7b-e691b978ddcc,Brian Bass,Cash,Asia
185,2024-06-19,Smartphone,1,289.25,289.25,27302fa0-db36-486a-929a-6a29397e6cbe,Joseph Henderson,PayPal,Europe
186,2024-06-03,Laptop,6,376.13,2256.78,f1b5d1b8-b516-4d18-850a-95b803ca076d,David Davis,Credit Card,North America
187,2024-05-05,Monitor,10,386.43,3864.3,fdeb0543-480a-4831-9cdb-d92c7ed756a6,Donna Davila,Debit Card,Oceania
188,2024-07-08,Keyboard,4,16.33,65.32,bac36a17-0038-48fa-ab0b-5b1c003e9885,Kevin Davis,PayPal,Africa
189,2024-03-18,Laptop,7,366.06,2562.42,e19a9549-af77-4cbe-b968-6465d060150a,Amy Henderson,Credit Card,North America
190,2024-06-09,Keyboard,7,263.27,1842.89,e145c44f-cbcc-4263-b5c7-936c7a4c258a,Crystal Rodriguez,PayPal,Europe
191,2024-04-21,Printer,9,122.32,1100.88,6ae4909e-cd8a-4f35-a00a-0dc140fa56a8,Lisa Silva,PayPal,Europe
192,2024-07-15,Mouse,9,68.21,613.89,440653b2-3a7a-4602-8d4c-6aff92c3631c,Debbie Rios,Credit Card,North America
193,2024-01-16,Keyboard,3,251.06,753.18,7dea3791-b715-4528-8e84-c39ee57385a8,Derek Smith,Bank Transfer,North America
194,2024-05-17,Monitor,2,360.19,720.38,47b274cc-7f43-4b53-808f-32b85b993b4a,Jesse Williams,Cash,Africa
195,2024-04-02,Mouse,10,236.05,2360.5,414e0708-ba4b-4658-a69c-06a323d27f4c,Dalton Perez,PayPal,Africa
196,2024-03-22,Smartphone,7,404.88,2834.16,a9deaad0-7c9d-45aa-8752-9365b9e1da03,Steven Lopez,PayPal,South America
197,2024-08-08,Headphones,1,239.54,239.54,cff5ddd9-a371-4deb-a1d9-fa383db65bbd,David Stanley,Debit Card,Europe
198,2024-07-23,Keyboard,9,193.48,1741.32,34566dca-d7f7-410c-bcde-7d436c9c21cd,Brenda Saunders,Cash,Oceania
